Train,Line,Station,Arrival Time,Driver,Crew 1,Crew 2
Train1,Green,Glenbury,2024-07-31 18:50:20,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 18:51:40,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 18:53:00,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 18:54:20,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 18:55:40,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 18:57:00,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 18:58:20,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 18:59:40,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 19:01:00,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 19:02:20,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 19:03:40,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 19:05:00,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 19:06:20,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 19:07:40,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 19:09:00,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 19:10:20,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 19:11:40,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 19:13:00,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 19:14:20,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 19:15:40,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 19:17:00,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 19:18:20,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 19:19:40,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 19:21:00,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 19:22:20,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 19:23:40,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 19:25:00,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 19:26:20,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 19:27:40,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 19:29:00,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 19:30:20,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 19:31:40,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 19:33:00,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 19:34:20,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 19:35:40,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 19:37:00,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 19:38:20,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 19:39:40,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 19:41:00,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 19:42:20,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 19:43:40,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 19:45:00,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 19:46:20,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 19:47:40,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 19:49:00,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 19:50:20,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 19:51:40,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 19:53:00,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 19:54:20,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 19:55:40,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 19:57:00,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 19:58:20,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 19:59:40,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 20:01:00,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 20:02:20,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 20:03:40,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 20:05:00,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 20:06:20,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 20:07:40,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 20:09:00,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 20:10:20,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 20:11:40,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 20:13:00,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 20:14:20,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 20:15:40,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 20:17:00,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 20:18:20,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 20:19:40,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 20:21:00,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 20:22:20,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 20:23:40,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 20:25:00,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 20:26:20,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 20:27:40,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 20:29:00,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 20:30:20,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 20:31:40,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 20:33:00,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 20:34:20,Alejandro,Alice,Barbra
Train1,Green,Glenbury,2024-07-31 20:35:40,Alejandro,Alice,Barbra
