Train,Station,Prev Block,Start Block,End Block,Arrival Time,Driver,Crew 1,Crew 2
1,Glenbury 1,152,152,65,2024-08-05 00:01:13.845714,Alejandro,Alice,Barbra
1,Castle Shannon,64,65,96,2024-08-05 00:07:39.858971,Alejandro,Alice,Barbra
1,Whited 1,95,96,22,2024-08-05 00:21:09.707982,Alejandro,Alice,Barbra
1,Glenbury 1,22,22,65,2024-08-05 00:21:39.707982,Alejandro,Alice,Barbra
1,Castle Shannon,64,65,96,2024-08-05 00:28:05.721239,Alejandro,Alice,Barbra
1,Whited 1,95,96,22,2024-08-05 00:41:35.570250,Alejandro,Alice,Barbra
1,Glenbury 1,22,22,65,2024-08-05 00:42:05.570250,Alejandro,Alice,Barbra
1,Castle Shannon,64,65,96,2024-08-05 00:48:31.583507,Alejandro,Alice,Barbra
1,Whited 1,95,96,22,2024-08-05 01:02:01.432518,Alejandro,Alice,Barbra
1,Glenbury 1,22,22,65,2024-08-05 01:02:31.432518,Alejandro,Alice,Barbra
1,Castle Shannon,64,65,96,2024-08-05 01:08:57.445775,Alejandro,Alice,Barbra
1,Whited 1,95,96,22,2024-08-05 01:22:27.294786,Alejandro,Alice,Barbra
1,Glenbury 1,22,22,65,2024-08-05 01:22:57.294786,Alejandro,Alice,Barbra
1,Castle Shannon,64,65,96,2024-08-05 01:29:23.308043,Alejandro,Alice,Barbra
1,Whited 1,95,96,22,2024-08-05 01:42:53.157054,Alejandro,Alice,Barbra
1,Glenbury 1,22,22,65,2024-08-05 01:43:23.157054,Alejandro,Alice,Barbra
1,Castle Shannon,64,65,96,2024-08-05 01:49:49.170311,Alejandro,Alice,Barbra
1,Whited 1,95,96,22,2024-08-05 02:03:19.019322,Alejandro,Alice,Barbra
1,Glenbury 1,22,22,65,2024-08-05 02:03:49.019322,Alejandro,Alice,Barbra
1,Castle Shannon,64,65,96,2024-08-05 02:10:15.032579,Alejandro,Alice,Barbra
1,Whited 1,95,96,22,2024-08-05 02:23:44.881590,Alejandro,Alice,Barbra
1,Glenbury 1,22,22,65,2024-08-05 02:24:14.881590,Alejandro,Alice,Barbra
1,Castle Shannon,64,65,96,2024-08-05 02:30:40.894847,Alejandro,Alice,Barbra
1,Whited 1,95,96,22,2024-08-05 02:44:10.743858,Alejandro,Alice,Barbra
1,Glenbury 1,22,22,65,2024-08-05 02:44:40.743858,Alejandro,Alice,Barbra
1,Castle Shannon,64,65,96,2024-08-05 02:51:06.757115,Alejandro,Alice,Barbra
1,Whited 1,95,96,22,2024-08-05 03:04:36.606126,Alejandro,Alice,Barbra
1,Glenbury 1,22,22,65,2024-08-05 03:05:06.606126,Alejandro,Alice,Barbra
1,Castle Shannon,64,65,96,2024-08-05 03:11:32.619383,Alejandro,Alice,Barbra
1,Whited 1,95,96,22,2024-08-05 03:25:02.468394,Alejandro,Alice,Barbra
1,Glenbury 1,22,22,65,2024-08-05 03:25:32.468394,Alejandro,Alice,Barbra
1,Castle Shannon,64,65,96,2024-08-05 03:31:58.481651,Alejandro,Alice,Barbra
1,Whited 1,95,96,22,2024-08-05 03:45:28.330662,Alejandro,Alice,Barbra
1,Glenbury 1,22,22,65,2024-08-05 03:45:58.330662,Alejandro,Alice,Barbra
1,Castle Shannon,64,65,96,2024-08-05 03:52:24.343919,Alejandro,Alice,Barbra
1,Whited 1,95,96,22,2024-08-05 04:05:54.192930,Alejandro,Alice,Barbra
1,Yard,22,22,152,2024-08-05 04:06:24.192930,Alejandro,Alice,Barbra
1,Glenbury 1,152,152,65,2024-08-05 04:36:59.884358,Alejandro,Alice,Barbra
1,Castle Shannon,64,65,96,2024-08-05 04:43:25.897615,Alejandro,Alice,Barbra
1,Whited 1,95,96,22,2024-08-05 04:56:55.746626,Alejandro,Alice,Barbra
1,Glenbury 1,22,22,65,2024-08-05 04:57:25.746626,Alejandro,Alice,Barbra
1,Castle Shannon,64,65,96,2024-08-05 05:03:51.759883,Alejandro,Alice,Barbra
1,Whited 1,95,96,22,2024-08-05 05:17:21.608894,Alejandro,Alice,Barbra
1,Glenbury 1,22,22,65,2024-08-05 05:17:51.608894,Alejandro,Alice,Barbra
1,Castle Shannon,64,65,96,2024-08-05 05:24:17.622151,Alejandro,Alice,Barbra
1,Whited 1,95,96,22,2024-08-05 05:37:47.471162,Alejandro,Alice,Barbra
1,Glenbury 1,22,22,65,2024-08-05 05:38:17.471162,Alejandro,Alice,Barbra
1,Castle Shannon,64,65,96,2024-08-05 05:44:43.484419,Alejandro,Alice,Barbra
1,Whited 1,95,96,22,2024-08-05 05:58:13.333430,Alejandro,Alice,Barbra
1,Glenbury 1,22,22,65,2024-08-05 05:58:43.333430,Alejandro,Alice,Barbra
1,Castle Shannon,64,65,96,2024-08-05 06:05:09.346687,Alejandro,Alice,Barbra
1,Whited 1,95,96,22,2024-08-05 06:18:39.195698,Alejandro,Alice,Barbra
1,Glenbury 1,22,22,65,2024-08-05 06:19:09.195698,Alejandro,Alice,Barbra
1,Castle Shannon,64,65,96,2024-08-05 06:25:35.208955,Alejandro,Alice,Barbra
1,Whited 1,95,96,22,2024-08-05 06:39:05.057966,Alejandro,Alice,Barbra
1,Glenbury 1,22,22,65,2024-08-05 06:39:35.057966,Alejandro,Alice,Barbra
1,Castle Shannon,64,65,96,2024-08-05 06:46:01.071223,Alejandro,Alice,Barbra
1,Whited 1,95,96,22,2024-08-05 06:59:30.920234,Alejandro,Alice,Barbra
1,Glenbury 1,22,22,65,2024-08-05 07:00:00.920234,Alejandro,Alice,Barbra
1,Castle Shannon,64,65,96,2024-08-05 07:06:26.933491,Alejandro,Alice,Barbra
1,Whited 1,95,96,22,2024-08-05 07:19:56.782502,Alejandro,Alice,Barbra
1,Glenbury 1,22,22,65,2024-08-05 07:20:26.782502,Alejandro,Alice,Barbra
1,Castle Shannon,64,65,96,2024-08-05 07:26:52.795759,Alejandro,Alice,Barbra
1,Whited 1,95,96,22,2024-08-05 07:40:22.644770,Alejandro,Alice,Barbra
1,Glenbury 1,22,22,65,2024-08-05 07:40:52.644770,Alejandro,Alice,Barbra
